,Name,TenforeId,ReturnM0,ReturnM12,ReturnM36,ReturnM60,StandardDeviationM36,SharpeM36,TrackRecordExtension,ReturnM120,AlphaM36,BetaM36
78,Lumyna Bluecove Alt Crdt UCITS D USD Acc,52.8.LU2225892319,1.92,-5.34,,,,,False,,,
79,Lumyna Bluecove Alt Crdt UCITS D EUR Acc,52.8.LU2225892236,-0.1,0.49,,,,,False,,,
80,Lumyna Bluecove Alt Crdt UCITS X1 EURAcc,52.8.LU2225892749,0.17,0.63,,,,,False,,,
81,Lumyna Bluecove Alt Crdt UCITS Z EUR Acc,52.8.LU2230845831,,,,,,,False,,,
82,Lumyna Weiss Multi-Strategy CHF Y1 Acc,52.8.LU2377751040,1.79,5.08,,,,,False,,,
83,Lumyna Weiss Multi-Strategy EUR D Acc,52.8.LU2315786504,-0.78,2.01,,,,,False,,,
84,Lumyna Weiss Multi-Strategy EUR Y1 Acc,52.8.LU2377750745,-1.28,2.38,,,,,False,,,
85,Lumyna Weiss Multi-Strategy GBP D Acc,,8.65,-2.49,,,,,False,,,
86,Lumyna Weiss Multi-Strategy USD B Acc,52.8.LU2315785951,1.36,-3.6,,,,,False,,,
87,Lumyna Weiss Multi-Strategy USD D Acc,,2.37,-6.94,,,,,False,,,
88,Lumyna Weiss Multi-Strategy USD Y1 Acc,52.8.LU2377750661,1.44,-2.15,,,,,False,,,
89,Lumyna Weiss Multi-Strategy USD Y3 Acc,,1.27,-8.66,,,,,False,,,
90,Man GLG Convert Arbtrg Alt IN H EUR Acc,52.8.IE00BNG2SW89,-3.46,-2.52,,,,,False,,,
91,Man GLG Convert Arbtrg Alt IN H GBP Acc,52.8.IE00BNG2SX96,-0.44,-0.47,,,,,False,,,
92,Man GLG Convert Arbtrg Alt IN USD Acc,52.8.IE00BNG2SV72,-1.45,-8.43,,,,,False,,,
93,Man GLG Convert Arbtrg Alt INF H EUR Acc,52.8.IE00BNG2SY04,-3.14,-2.11,,,,,False,,,
94,Man GLG Convert Arbtrg Alt INF USD Acc,52.8.IE000B6H4RR4,-1.02,-7.96,,,,,False,,,
95,Man GLG Convert Arbtrg Alt IU H GBP Acc,52.8.IE00BNG2SZ11,0.35,0.8,,,,,False,,,
96,Man GLG Convert Arbtrg Alt IU USD Acc,52.8.IE000Q4D0LD9,-0.66,-7.23,,,,,False,,,
97,MontLake Advent Glb PtnrsUCITS £IstA Pld,52.8.IE00BD3CQ943,0.48,1.39,2.13,5.65,5.9,0.4,False,,,
98,MontLake AdventGlbPtnrsUCITSCHFIstFdrPld,52.8.IE00BD3CR248,0.68,1.63,2.45,,5.95,0.45,False,,,
99,MontLake Advent Glb PtnrsUCITS £Ret Pld,52.8.IE00BD3CQP07,0.06,0.88,1.65,5.21,5.9,0.32,False,,,
100,MontLake Advent Glb PtnrsUCITS €Ist A,,0.78,-0.22,,,,,False,,,
101,MontLake Advent Glb PtnrsUCITS €IstA Pld,52.8.IE00BD3CQ612,-1.95,-0.51,-1.27,2.36,4.4,-0.13,False,,,
102,MontLake Advent Glb PtnrsUCITS €Fdr Pld,52.8.IE00BD3CQZ05,-1.75,-0.25,-0.95,2.8,4.53,-0.05,False,,,
103,MontLake Advnt Glb Ptnrs UCITS £ I A Pld,52.8.IE00BD3CQ729,1.09,1.77,1.18,,6.86,0.31,False,,,
104,MontLake Advent Glb PtnrsUCITS GBPRetPld,52.8.IE00BD3CQM75,0.67,1.27,0.75,3.25,6.83,0.25,False,,,
105,MontLake Advent Glb PtnrsUCITS $IstA Pld,52.8.IE00BD3CQ836,0.05,-6.31,3.87,5.68,7.56,0.59,False,,,
106,MontLake Advent Glb PtnrsUCITS $FdrPld,52.8.IE00BD3CR131,0.25,-6.08,4.22,6.23,7.59,0.64,False,,,
107,MontLake Advent Glb Ptnrs UCITS $InstPld,52.8.IE00BNTVVL28,0.46,-5.83,,,,,False,,,
108,MontLake Advent Glb PtnrsUCITS $RetPld,52.8.IE00BD3CQN82,-0.36,-6.78,3.39,5.19,7.56,0.53,False,,,
109,Multi Strategy SICAV Pendulum I CHF,52.8.LU0722507612,2.52,-0.45,7.57,4.98,4.64,1.47,False,3.88,-2.12,1.22
110,Multi Strategy SICAV Pendulum I EUR,52.8.LU0722507372,1.95,1.62,4.56,2.3,2.99,1.32,False,2.13,-6.89,1.75
111,Multi Strategy SICAV Pendulum I GBP,52.8.LU0722507885,5.38,4.46,7.44,4.03,5.31,1.28,False,2.67,-5.2,2.05
112,Multi Strategy SICAV Pendulum I USD,52.8.LU0722502654,4.41,-3.68,9.89,6.26,7.9,1.17,False,6.29,0.97,0.86
113,Redhedge Relative Value UCITS A EUR Acc,52.8.IE00BKPKGX98,1.83,2.37,,,,,False,,,
114,U Access (IRL) Cheyne Arbtrg B EUR Acc,52.8.IE00BDT6DH77,-3.75,-2.74,3.34,2.09,6.84,0.49,False,,,
115,U Access (IRL) Cheyne Arbtrg C EUR Acc,52.8.IE00BDT6DM21,-3.52,-2.41,3.72,2.4,6.87,0.54,False,,,
116,24 Global Currency A USD Acc,52.8.MT7000022612,11.06,4.42,15.33,15.66,7.93,1.72,False,,,
117,Algo Performance A USD Acc,,0.24,0.46,,,,,False,,,
118,Algo Performance B EUR Acc,,-0.22,-3.93,-11.3,,13.38,-0.79,False,,,
119,Algo Performance C GBP Acc,,0.58,-5.53,0.88,-5.95,9.51,0.11,False,,,
120,Alpha UCITS SICAV Audentia Fx E EUR Acc,,,,,,,,False,,,
121,Amundi Fds Absolute Ret Forex A EUR C,52.8.LU0568619638,1.36,1.07,0.73,-0.92,1.36,0.31,True,-0.6,0.35,1.0
122,Amundi Fds Absolute Ret Forex A USD C,52.8.LU1883326172,1.35,1.06,0.73,,1.36,0.31,False,,0.34,1.0
123,Amundi Fds Absolute Ret Forex C EUR C,52.8.LU1883326768,0.73,0.28,0.01,,1.38,-0.2,False,,-0.37,1.0
124,Amundi Fds Absolute Ret Forex C USD C,52.8.LU1883326925,0.75,0.3,0.02,,1.37,-0.2,False,,-0.36,1.0
125,Amundi Fds Absolute Ret Forex C USD MTD,52.8.LU1883327063,0.91,0.5,0.21,,1.37,-0.07,False,,-0.18,1.0
126,Amundi Fds Absolute Ret Forex G EUR C,52.8.LU0568619802,1.24,0.91,0.59,-1.05,1.36,0.21,False,-0.73,0.2,1.0
127,Amundi Fds Absolute Ret Forex I EUR C,52.8.LU0568619042,1.75,1.58,1.2,-0.45,1.33,0.66,True,-0.18,0.81,1.0
128,Amundi Fds Absolute Ret Forex R EUR C,52.8.LU0987184941,1.46,1.2,0.83,,1.35,0.39,False,,0.45,1.0
129,Amundi Fds Absolute Ret Forex R USD C,52.8.LU1883327659,1.4,1.14,0.82,,1.35,0.38,False,,0.44,1.0
130,Grantia Eagle A FI,52.8.ES0143206003,6.57,37.48,3.1,,13.7,0.25,False,,,
131,Grantia Eagle B FI,52.8.ES0143206011,6.89,38.06,3.51,,13.71,0.28,False,,,
132,Insight Absolute Insight Ccy Ap EUR,,-1.87,-6.73,-4.18,-2.27,3.09,-1.23,False,,,
133,Insight Absolute Insight Ccy B1p GBP,,,,,,5.85,-0.5,False,,,
134,Insight Absolute Insight Ccy B2p USD,52.8.IE00B3ZJZD09,1.21,-10.49,,,,,False,,,
135,Insight Absolute Insight Ccy B3p EUR,,-2.74,-5.17,-4.43,-1.73,2.75,,False,,,
136,Insight Absolute Insight Ccy B4p GBP,,-10.14,-10.15,-4.86,,11.6,,False,,,
137,Neuberger Berman Macro Opps FX EUR I Acc,52.8.IE00BK70Z635,2.71,3.83,-1.23,,3.17,-0.34,False,,-0.94,0.93
138,Neuberger Berman Macro Opps FX GBP ZAccH,52.8.IE00BG0WMX45,6.63,7.21,2.06,,5.59,0.43,False,,1.89,0.82
139,Neuberger Berman Macro Opps FX SEK IAccH,52.8.IE00BK70Z742,-2.37,-1.87,-4.71,,6.88,-0.5,False,,-3.54,0.9
140,Neuberger Berman Macro Opps FX SEK IDisH,52.8.IE00BL1GVW28,-2.36,-1.83,,,,,False,,,
141,Neuberger Berman Macro Opps FX USD IAccH,52.8.IE00BK70Z528,5.29,-1.72,4.13,,9.02,0.49,False,,-1.31,-0.07
142,Neuberger Berman Macro Opps FX USD ZAccH,52.8.IE00BK70Z411,5.81,-1.16,4.74,,8.98,0.55,False,,-0.72,-0.07
143,Pictet-Shrt-Trm Em Lcl Ccy Dbt HI EUR,52.8.LU0368003488,0.55,7.12,-3.43,-2.43,9.34,-0.29,False,-2.78,,
144,Pictet-Shrt-Trm Em Lcl Ccy Dbt HP EUR,52.8.LU0368004296,0.17,6.63,-3.88,-2.87,9.33,-0.34,False,-3.22,,
145,Pictet-Shrt-Trm Em Lcl Ccy Dbt HR EUR,52.8.LU0368004536,-0.2,6.12,-4.32,-3.31,9.33,-0.39,False,-3.66,,
146,Pictet-Shrt-Trm Em Lcl Ccy Dbt I EUR,52.8.LU0366532991,3.0,1.49,2.12,1.4,6.11,0.4,False,1.69,,
147,Pictet-Shrt-Trm Em Lcl Ccy Dbt I USD,52.8.LU0366532488,3.03,1.48,2.18,1.44,6.11,0.41,False,1.72,,
148,Pictet-Shrt-Trm Em Lcl Ccy Dbt P dm HKD,52.8.LU2273157417,2.64,1.0,,,,,False,,,
149,Pictet-Shrt-Trm Em Lcl Ccy Dbt P dm USD,52.8.LU2273157508,2.65,1.02,,,,,False,,,
150,Pictet-Shrt-Trm Em Lcl Ccy Dbt P dy GBP,52.8.LU2273157680,2.66,1.03,,,,,False,,,
151,Pictet-Shrt-Trm Em Lcl Ccy Dbt P dy USD,52.8.LU0366532645,2.65,1.03,1.72,0.98,6.1,0.34,False,1.27,,
152,Pictet-Shrt-Trm Em Lcl Ccy Dbt P EUR,52.8.LU0366533023,2.64,1.05,1.67,0.96,6.11,0.33,False,1.24,,
153,Pictet-Shrt-Trm Em Lcl Ccy Dbt P USD,52.8.LU0366532561,2.65,1.01,1.71,0.97,6.11,0.34,False,1.26,,
154,Pictet-Shrt-Trm Em Lcl Ccy Dbt R dm USD,52.8.LU2273157763,2.26,0.55,,,,,False,,,
155,Pictet-Shrt-Trm Em Lcl Ccy Dbt R EUR,52.8.LU0366533296,2.26,0.6,1.22,0.49,6.11,0.26,False,0.78,,
156,Pictet-Shrt-Trm Em Lcl Ccy Dbt R USD,52.8.LU0366539657,2.27,0.55,1.25,0.51,6.11,0.26,False,0.81,,
157,PIMCO GIS EM S/T Lcl Ccy E EUR UnH Acc,52.8.IE00B600QL41,3.29,1.55,3.13,1.9,4.41,0.73,False,1.79,0.59,0.92
158,PIMCO GIS EM S/T Lcl Ccy E USD Acc,52.8.IE00B3DD5P64,3.29,1.59,3.14,1.9,4.48,0.72,False,1.79,0.56,0.9
159,PIMCO GIS EM S/T Lcl Ccy Ins EUR UnH Acc,52.8.IE00B39T3650,4.05,2.45,4.04,2.8,4.41,0.94,False,2.7,1.49,0.91
160,UBS(Irl) Ccy Allc Ret Strat EURH Q Acc,,-0.45,-6.9,-1.83,,14.91,-0.13,False,,0.35,1.74
161,UBS(Irl) Ccy Allc Ret Strat GBP Q Acc,52.8.IE00BDRXG821,-2.62,3.16,0.49,-3.3,15.11,0.25,False,,7.07,1.64
162,APIV Oceanwood Opp I1C-E EUR Acc,,-5.83,-5.39,,,,,False,,,
163,APIV Oceanwood Opp I3C-E EUR Acc,,-5.28,-4.95,,,,,False,,,
164,Alpine Merger Arbitrage A EUR Acc,52.8.IE00BG7PPR18,-4.28,-5.97,0.24,0.71,6.43,0.08,False,,,
165,Alpine Merger Arbitrage A USD Acc,52.8.IE00BG7PPQ01,-2.07,-11.09,5.26,3.91,9.47,0.57,False,,,
166,Alpine Merger Arbitrage EI EUR Acc,52.8.IE00BG7PPT32,-3.85,-5.34,0.7,1.2,6.33,0.16,False,,,
167,Amundi Tiedemann Arbitrage Strat A EUR,52.8.IE00B9DCSJ09,1.63,2.36,2.24,1.48,4.04,0.53,False,1.22,,
168,Amundi Tiedemann Arbitrage Strat A USD,52.8.IE00B8HSRJ09,3.25,-3.88,7.35,4.65,7.54,0.93,False,,,
169,Amundi Tiedemann Arbitrage Strat I EUR,52.8.IE00B8BS6228,2.22,3.11,2.93,2.19,4.0,0.7,False,,,
170,Amundi Tiedemann Arbitrage Strat I USD,52.8.IE00B905SX62,3.82,-3.38,8.08,5.4,7.57,1.01,False,5.99,,
171,Amundi Tiedemann Arbitrage Strat O EUR,52.8.IE00BK8X5G16,1.79,2.62,2.43,,4.03,0.58,False,,,
172,Amundi Tiedemann Arbitrage Strat O USD,52.8.IE00BK8X5F09,3.41,-3.73,7.56,,7.55,0.95,False,,,
173,Amundi Tiedemann Arbitrage Strat SI EUR,52.8.IE00BNK9T448,2.17,3.13,,,,,False,,,
174,Amundi Tiedemann Arbitrage Strat SI USD,52.8.IE00BNK9T554,3.98,-3.21,,,,,False,,,
175,AZ Fd 1 AZ Alt Arbtrg A-AZ Acc,,-2.09,0.25,-1.53,-1.92,3.45,-0.56,False,,,
176,AZ Fd 1 AZ Alt Arbtrg A-AZ Inc,,-2.03,0.28,-1.51,-1.91,3.44,-0.55,False,,,
177,AZ Fd1 AZ Alt Arbtrg A-Instl EUR Acc,,-2.08,-3.24,2.55,-1.04,4.9,-0.11,False,,,
178,AZ Fd 1 AZ Alt Arbtrg A-Instl EUR Inc,52.8.LU1232063476,-1.05,-3.15,,,,,False,,,
179,AZ Fd 1 AZ Alt Arbtrg A-Instl USD Acc,,1.91,-3.39,5.53,3.39,6.97,0.74,False,,,
180,AZ Fd 1 AZ Alt Arbtrg B-AZ Acc,,-2.06,0.27,-1.52,-1.93,3.45,-0.55,False,,,
181,AZ Fd 1 AZ Alt Arbtrg B-AZ Inc,,-1.98,0.33,-1.51,-1.92,3.45,-0.55,False,,,
182,BSF Global Event Driven A2 CHF H,52.8.LU1400751324,1.55,0.72,2.26,4.04,5.23,0.41,False,,-1.12,4.01
183,BSF Global Event Driven A2 EUR H,52.8.LU1376384878,-1.21,-1.94,-1.21,0.87,4.66,-0.16,False,,-2.9,7.12
184,BSF Global Event Driven A2 USD,52.8.LU1251620883,1.4,-6.17,4.41,4.34,7.59,0.61,False,,-0.84,-0.96
185,BSF Global Event Driven A4 EUR H,52.8.LU1697783881,-1.21,-1.93,-1.23,0.8,4.65,-0.17,False,,-2.92,7.09
186,BSF Global Event Driven AI2 EUR H,52.8.LU2103007592,-1.19,-1.92,-1.19,,4.66,-0.16,False,,-2.88,7.11
187,BSF Global Event Driven D2 CHF H,52.8.LU1387771113,1.96,1.22,2.76,4.54,5.22,0.5,False,,-0.66,3.98
188,BSF Global Event Driven D2 EUR H,52.8.LU1373035077,-0.81,-1.46,-0.74,1.32,4.66,-0.06,False,,-2.43,7.08
189,BSF Global Event Driven D2 GBP H,52.8.LU1373034930,2.32,0.39,1.73,2.54,7.03,0.34,False,,-1.98,0.77
190,BSF Global Event Driven D2 USD,52.8.LU1251621188,1.82,-5.71,4.92,4.81,7.59,0.67,False,,-0.36,-0.95
191,BSF Global Event Driven D4 GBP H,52.8.LU2215606471,2.32,0.39,1.76,,7.04,0.34,False,,-1.93,0.82
192,BSF Global Event Driven E2 EUR,52.8.LU1278928657,1.02,-6.85,3.86,3.83,7.54,0.54,False,,-1.3,-0.76
193,BSF Global Event Driven E2 EUR H,52.8.LU1278928574,-1.6,-2.41,-1.69,0.45,4.66,-0.26,False,,-3.37,7.14
194,BSF Global Event Driven I2 BRL USD H,52.8.LU2008661006,13.15,6.37,15.88,,14.78,1.08,False,,12.81,4.49
195,BSF Global Event Driven I2 CHF H,52.8.LU1603214401,2.23,1.49,3.05,4.79,5.22,0.55,False,,-0.4,3.97
196,BSF Global Event Driven I2 EUR H,52.8.LU1382784764,-0.56,-1.15,-0.46,1.58,4.66,0.0,False,,-2.16,7.07
197,BSF Global Event Driven I2 JPY H,52.8.LU1781817421,-14.24,-11.3,-8.91,-3.03,7.82,-1.07,False,,-9.1,11.76
198,BSF Global Event Driven I2 USD,52.8.LU1251621345,2.05,-5.44,5.21,5.1,7.6,0.71,False,,-0.09,-0.98
199,BSF Global Event Driven I4 EUR H,52.8.LU1817852764,-0.53,-1.13,-0.42,1.47,4.65,0.01,False,,-2.11,7.11
200,BSF Global Event Driven I5 GBP H,52.8.LU1603215044,2.57,0.67,2.01,2.83,7.04,0.38,False,,-1.72,0.75
201,BSF Global Event Driven I5 USD,52.8.LU1603214153,2.05,-5.44,5.21,5.1,7.59,0.71,False,,-0.08,-0.95
202,BSF Global Event Driven IA2 USD,52.8.LU1921562119,2.47,-4.96,5.55,,7.6,0.75,False,,0.12,-1.23
203,BSF Global Event Driven S2 EUR H,52.8.LU1706559405,-0.55,-1.15,-0.44,,4.65,0.0,False,,-2.14,7.07
204,BSF Global Event Driven S2 USD,52.8.LU2099035045,2.06,-5.43,5.22,,7.6,0.71,False,,-0.07,-0.97
205,BSF Global Event Driven X2 USD,52.8.LU1264793958,2.87,-4.5,6.7,6.88,7.6,0.9,False,,1.59,-0.37
206,BSF Global Event Driven Z2 CHF H,52.8.LU1341466644,2.39,1.73,3.39,5.19,5.24,0.61,False,,0.01,4.09
207,BSF Global Event Driven Z2 EUR H,52.8.LU1288049940,-0.39,-0.95,-0.14,1.93,4.7,0.07,False,,-1.78,7.2
208,BSF Global Event Driven Z2 GBP H,52.8.LU1288049866,2.74,0.89,2.32,3.16,7.05,0.42,False,,-1.35,0.89
209,BSF Global Event Driven Z2 USD,52.8.LU1258025839,2.23,-5.24,5.52,5.47,7.6,0.75,False,,0.26,-0.85
